,album,artist,genre,id,track_name,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence
0,Falling,Lina Mayer,Pop,2wYHz0GOHV49Xezd5mWTDP,Falling,0.0315,0.447,201385,0.594,1.02e-06,5,0.111,-5.996,1,0.0448,164.05,4,0.521
1,No Tears Left To Cry,Ariana Grande,Pop,5SxkdsY1ufZzoq9iXceLw9,No Tears Left To Cry,0.0375,0.703,205947,0.696,5.65e-06,0,0.274,-5.482,1,0.0529,121.969,4,0.366
2,The Middle,Zedd,Pop,2ARqIya5NAuvFVHSN3bL0m,The Middle,0.208,0.748,184732,0.652,0.0,7,0.128,-3.02,1,0.058,106.914,4,0.431
3,Never Be the Same (Radio Edit),Camila Cabello,Pop,0BlY60NrN0fFWbdW3RW40q,Never Be the Same - Radio Edit,0.156,0.652,227077,0.682,0.00013,0,0.121,-4.38,1,0.0788,129.942,4,0.269
4,All Your Fault: Pt. 2,Bebe Rexha,Pop,7iDa6hUg2VgEL1o1HjmfBn,Meant to Be (feat. Florida Georgia Line),0.047,0.643,163870,0.783,0.0,10,0.083,-6.458,1,0.0856,154.084,4,0.579
5,Finesse (Remix) [feat. Cardi B],Bruno Mars,Pop,3Vo4wInECJQuz9BIBMOu8i,Finesse (Remix) [feat. Cardi B],0.0185,0.704,217289,0.859,0.0,5,0.0215,-4.877,0,0.0996,105.115,4,0.926
6,Pray For Me (with Kendrick Lamar),The Weeknd,Pop,4ofvoCdXq99vpMZO4Cfp8x,Pray For Me (with Kendrick Lamar),0.0805,0.728,211440,0.668,1.49e-05,2,0.102,-5.02,1,0.126,100.537,4,0.162
7,Scary Hours,Drake,Pop,6T8cJz5lAqGer9GUHGyelE,God's Plan,0.0283,0.755,198960,0.448,3.28e-05,7,0.514,-9.587,1,0.107,77.179,4,0.318
8,Him & I,G-Eazy,Pop,3YU6vJbjYUG0tiJyXf9x5V,Him & I,0.0534,0.589,268867,0.731,0.0,2,0.308,-6.343,1,0.0868,87.908,4,0.191
9,Perception,NF,Pop,6mrKP2jyIQmM0rw6fQryjr,Let You Down,0.33,0.659,212120,0.716,0.0,5,0.173,-5.673,0,0.111,148.015,4,0.437
10,Dua Lipa (Deluxe),Dua Lipa,Pop,2ekn2ttSfGqwhhate0LSR0,New Rules,0.00256,0.771,208827,0.696,9.71e-06,9,0.179,-6.258,0,0.0755,116.054,4,0.656
11,÷ (Deluxe),Ed Sheeran,Pop,0tgVpDi06FyKpA1z0VMD4v,Perfect,0.163,0.599,263400,0.448,0.0,8,0.106,-6.312,1,0.0232,95.05,3,0.168
12,Evolve,Imagine Dragons,Pop,4IWAyPf1KMq7JCyGeCjTeH,Whatever It Takes,0.0429,0.675,201240,0.649,0.0,1,0.128,-4.953,1,0.0315,134.955,4,0.537
13,Red Pill Blues (Deluxe),Maroon 5,Pop,1Qg9jWGDkKAGZXj5v2OG59,Wait,0.0889,0.659,190643,0.604,0.0,8,0.105,-5.084,1,0.0542,126.135,4,0.407
